date,underlying,underlying_price,maturity_date,time_to_expiry,strike,option_type,bid,ask,mid,volume,open_interest,risk_free_rate,dividend_yield
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,645.0,call,46.28,48.36,47.32,2.0,1.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,670.0,call,21.83,23.58,22.705,1.0,5.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,675.0,call,17.86,18.08,17.97,21.0,8.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,680.0,call,13.35,13.56,13.455,48.0,140.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,685.0,call,9.18,9.35,9.265,402.0,351.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,690.0,call,5.52,5.62,5.57,1460.0,1672.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,695.0,call,2.67,2.7,2.685,2281.0,1119.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,700.0,call,0.88,0.9,0.89,1830.0,1944.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,705.0,call,0.17,0.18,0.175,2686.0,2295.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,710.0,call,0.02,0.03,0.025,2126.0,1823.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,715.0,call,0.01,0.02,0.015,34.0,454.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,720.0,call,0.0,0.01,0.005,1.0,119.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,725.0,call,0.0,0.01,0.005,6.0,99.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,730.0,call,0.0,0.01,0.005,2.0,49.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-26,0.024657534246575342,750.0,call,0.0,0.01,0.005,2.0,20.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,415.0,call,276.11,278.49,277.3,1.0,12.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,420.0,call,271.12,273.5,272.31,1.0,2.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,425.0,call,266.13,268.5,267.315,,1.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,430.0,call,262.22,262.5,262.36,4.0,786.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,435.0,call,256.15,258.52,257.335,2.0,0.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,450.0,call,241.18,243.54,242.36,1.0,50.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,455.0,call,234.49,238.14,236.315,2.0,0.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,460.0,call,229.86,233.21,231.53500000000003,2.0,79.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,465.0,call,226.21,228.56,227.385,2.0,2.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,470.0,call,221.22,223.57,222.39499999999998,1.0,36.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,475.0,call,216.23,218.58,217.405,1.0,4.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,480.0,call,211.23,213.58,212.405,1.0,16.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,485.0,call,204.6,208.26,206.43,2.0,1.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,490.0,call,201.26,203.61,202.435,3.0,14.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,495.0,call,196.27,198.62,197.445,1.0,17.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,500.0,call,192.34,192.64,192.49,49.0,483.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,505.0,call,187.35,187.62,187.485,3.0,134.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,510.0,call,181.3,183.64,182.47,3.0,32.0,0.0,1.07
2026-01-17,SPY,691.6599731445312,2026-01-30,0.03561643835616438,515.0,call,176.31,178.65,177.48000000000002,3.0,10.0,0.0,1.07
